,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Ngunguru,NZ,2020-04-21 01:21:55,-35.62,174.5,64.0,99,100,4.0
98,Pechenga,RU,2020-04-21 01:21:55,69.53,31.17,33.8,69,100,33.33
99,Moose Factory,CA,2020-04-21 01:21:55,51.26,-80.61,30.2,92,90,11.41
100,Punta Arenas,CL,2020-04-21 01:21:55,-53.15,-70.92,44.6,81,20,17.22
101,Esperance,AU,2020-04-21 01:21:55,-33.87,121.9,64.4,68,5,10.29
102,Marsh Harbour,BS,2020-04-21 01:21:55,26.54,-77.06,81.64,77,100,21.59
103,Benxi,CN,2020-04-21 01:21:55,41.29,123.77,39.2,29,7,24.61
104,Shingu,JP,2020-04-21 01:21:56,33.73,135.98,66.2,52,75,14.99
105,Malartic,CA,2020-04-21 01:21:56,48.13,-78.13,32.0,77,90,10.29
106,Cape Town,ZA,2020-04-21 01:17:53,-33.93,18.42,60.01,100,75,2.24
107,Bredasdorp,ZA,2020-04-21 01:21:56,-34.53,20.04,62.6,63,100,5.82
108,Wiarton,CA,2020-04-21 01:21:56,44.74,-81.13,46.99,45,75,20.8
109,Samarai,PG,2020-04-21 01:21:56,-10.62,150.67,84.4,71,67,10.07
110,Fare,PF,2020-04-21 01:21:57,-16.7,-151.02,82.87,75,94,17.2
111,Madimba,TZ,2020-04-21 01:21:57,-10.4,40.33,77.0,94,20,6.93
112,Chippewa Falls,US,2020-04-21 01:21:57,44.94,-91.39,44.6,45,1,14.99
113,Bafoulabe,ML,2020-04-21 01:21:57,13.81,-10.83,94.1,17,61,3.49
114,Bethel,US,2020-04-21 01:21:57,41.37,-73.41,48.0,52,1,3.36
115,Port Alfred,ZA,2020-04-21 01:21:58,-33.59,26.89,64.99,90,33,5.01
116,Port Blair,IN,2020-04-21 01:21:58,11.67,92.75,83.97,71,11,3.2
117,Mount Isa,AU,2020-04-21 01:21:58,-20.73,139.5,89.6,11,0,10.29
118,Barrow,US,2020-04-21 01:21:58,71.29,-156.79,8.6,78,90,12.75
